Time,Mx_f,My_f,Mz_f,B_z,Coeff of Exc. Pulse
0.01,0.0004156695291796815,-0.1281522407295806,-0.9786089197181342,1,"[979, 605, 677, 418, -2, 2]"
0.009,0.010156794426307977,0.988353807569302,0.03433425037140288,-4,"[201, 668, 901, 841, 1, -3]"
0.006,0.013749479203012695,-0.4897795509296931,-0.8627168920357151,8,"[665, 992, 329, 972, 3, 1]"
0.013,-0.0049854734211635205,-0.9825277533651141,-0.02001162649929411,-16,"[948, 863, 100, 325, 2, 1]"
0.002,0.023124062876511847,-0.20580172622457793,-0.9756455841280647,19,"[917, 758, 574, 361, 2, -1]"
0.002,-0.025447796631802227,0.9713858880374537,-0.22701203508265805,-18,"[597, 304, 633, 414, 3, -1]"
0.015,0.027610226519488388,0.7896378359610673,-0.5811335471108232,10,"[251, 315, 129, 160, 0, 0]"
0.011,-0.017635875985998316,-0.8315512977310301,0.527431418380115,-10,"[370, 681, 486, 428, -3, 0]"
0.013,0.01043414483886532,-0.9319090272842568,0.3110185636014071,-4,"[990, 364, 253, 793, -1, 2]"
0.006,0.004833578689903372,0.4993262791876576,0.8579573989381072,16,"[752, 383, 285, 437, -1, -2]"
0.006,-0.032592393197304496,-0.46514303834800835,-0.8757303008337749,-17,"[383, 222, 397, 854, 3, 1]"
0.013,0.01768401610026466,0.5706937438816426,0.8007020123483068,-15,"[990, 991, 899, 818, -3, -3]"
0.004,0.019195674111031322,-0.7751018816421313,-0.622974136970998,17,"[862, 147, 123, 616, 1, -3]"
0.01,-0.0027480882483218584,-0.3893357916845943,0.9064765146093509,18,"[378, 838, 345, 430, -1, -2]"
0.01,0.00123745490198101,0.11279211503799383,0.9806105226426526,18,"[798, 470, 285, 509, -1, -2]"
0.01,0.019011955380629372,-0.946352136288225,0.2770812046710372,18,"[856, 272, 431, 143, 2, 0]"
0.001,-0.00842405355812882,0.9259438946267502,0.37591776177745906,-16,"[336, 850, 322, 496, -3, 2]"
0.014,0.005561906553997452,-0.9554287936164658,-0.22329547015154233,-15,"[341, 428, 498, 433, 3, 0]"
0.002,-0.019304814164925764,0.9123918450941845,0.4059423655264006,-20,"[366, 211, 918, 945, -1, 0]"
0.003,0.039126388804362304,0.17966578866242203,-0.9789397113618382,19,"[221, 766, 830, 802, -2, 3]"
0.014,-0.006720060712122455,0.6789120911776517,0.7103048310415871,15,"[388, 564, 568, 383, 2, 0]"
0.008,0.0035303634064022755,-0.3136392869079506,0.9379580948193729,9,"[574, 171, 272, 572, 1, 1]"
0.01,-0.01107629868023705,-0.3777150930845752,-0.9117557639497633,-1,"[826, 156, 987, 463, -3, 3]"
0.004,0.0005556879687891834,-0.9899283316645706,-0.0929156035185781,-3,"[826, 329, 398, 653, 2, 0]"
0.015,0.0037711860985638864,-0.15961884884046093,0.9671607797138079,0,"[179, 648, 809, 162, 1, 3]"
0.006,-0.01839806454003004,0.9873486773643824,-0.10002471666919567,-11,"[809, 517, 166, 964, 3, 2]"
0.007,-0.03464252663479881,-0.9432101655784145,0.2979269529409451,0,"[388, 329, 793, 301, -3, -3]"
